ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.Historia22Test	historia22test	1590522786541	 	3.3.1
USER	DiagnosisCreatedScn	129	START	1590522797690	1590522797690
USER	DiagnosisNotCreatedScn	136	START	1590522797690	1590522797690
REQUEST	129		Home	1590522797691	1590522797693	OK	 
REQUEST	136		Home	1590522797691	1590522797693	OK	 
REQUEST	42		Login	1590522797711	1590522797712	OK	 
REQUEST	36		Login	1590522797711	1590522797712	OK	 
USER	DiagnosisNotCreatedScn	144	START	1590522797833	1590522797833
USER	DiagnosisCreatedScn	137	START	1590522797833	1590522797833
REQUEST	137		Home	1590522797834	1590522797836	OK	 
REQUEST	144		Home	1590522797834	1590522797836	OK	 
REQUEST	43		Login	1590522797849	1590522797850	OK	 
REQUEST	50		Login	1590522797848	1590522797850	OK	 
USER	DiagnosisNotCreatedScn	145	START	1590522797968	1590522797968
USER	DiagnosisCreatedScn	138	START	1590522797968	1590522797968
REQUEST	138		Home	1590522797969	1590522797970	OK	 
REQUEST	145		Home	1590522797969	1590522797970	OK	 
REQUEST	51		Login	1590522798001	1590522798002	OK	 
REQUEST	44		Login	1590522798001	1590522798002	OK	 
USER	DiagnosisCreatedScn	139	START	1590522798109	1590522798109
USER	DiagnosisNotCreatedScn	146	START	1590522798109	1590522798109
REQUEST	139		Home	1590522798110	1590522798116	OK	 
REQUEST	146		Home	1590522798110	1590522798116	OK	 
REQUEST	52		Login	1590522798142	1590522798143	OK	 
REQUEST	45		Login	1590522798142	1590522798143	OK	 
USER	DiagnosisCreatedScn	140	START	1590522798261	1590522798261
USER	DiagnosisNotCreatedScn	147	START	1590522798262	1590522798262
REQUEST	140		Home	1590522798262	1590522798264	OK	 
REQUEST	147		Home	1590522798262	1590522798265	OK	 
REQUEST	46		Login	1590522798283	1590522798285	OK	 
REQUEST	53		Login	1590522798283	1590522798285	OK	 
USER	DiagnosisNotCreatedScn	148	START	1590522798403	1590522798403
USER	DiagnosisCreatedScn	141	START	1590522798403	1590522798403
REQUEST	141		Home	1590522798404	1590522798406	OK	 
REQUEST	148		Home	1590522798404	1590522798406	OK	 
REQUEST	47		Login	1590522798418	1590522798419	OK	 
REQUEST	54		Login	1590522798418	1590522798419	OK	 
USER	DiagnosisCreatedScn	142	START	1590522798539	1590522798539
USER	DiagnosisNotCreatedScn	149	START	1590522798539	1590522798539
REQUEST	149		Home	1590522798539	1590522798541	OK	 
REQUEST	142		Home	1590522798539	1590522798541	OK	 
REQUEST	48		Login	1590522798571	1590522798572	OK	 
REQUEST	55		Login	1590522798571	1590522798572	OK	 
USER	DiagnosisNotCreatedScn	150	START	1590522798679	1590522798679
REQUEST	150		Home	1590522798680	1590522798681	OK	 
USER	DiagnosisCreatedScn	143	START	1590522798690	1590522798690
REQUEST	143		Home	1590522798690	1590522798692	OK	 
REQUEST	56		Login	1590522798701	1590522798702	OK	 
REQUEST	49		Login	1590522798701	1590522798702	OK	 
USER	DiagnosisCreatedScn	151	START	1590522798851	1590522798851
