ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.Historia21Test	historia21test	1590516206730	 	3.3.1
USER	VetNotCreatedScn	190	START	1590516211360	1590516211360
REQUEST	190		Home	1590516211361	1590516211362	OK	 
USER	VetCreatedScn	166	START	1590516211391	1590516211391
REQUEST	166		Home	1590516211391	1590516211394	OK	 
USER	VetNotCreatedScn	191	START	1590516211401	1590516211401
REQUEST	191		Home	1590516211402	1590516211404	OK	 
USER	VetCreatedScn	167	START	1590516211432	1590516211432
REQUEST	167		Home	1590516211433	1590516211435	OK	 
USER	VetNotCreatedScn	192	START	1590516211443	1590516211443
REQUEST	192		Home	1590516211443	1590516211446	OK	 
USER	VetCreatedScn	168	START	1590516211474	1590516211474
REQUEST	168		Home	1590516211474	1590516211479	OK	 
USER	VetNotCreatedScn	193	START	1590516211485	1590516211485
REQUEST	193		Home	1590516211486	1590516211489	OK	 
USER	VetCreatedScn	169	START	1590516211510	1590516211510
REQUEST	169		Home	1590516211511	1590516211515	OK	 
USER	VetNotCreatedScn	194	START	1590516211520	1590516211520
REQUEST	194		Home	1590516211521	1590516211524	OK	 
USER	VetCreatedScn	170	START	1590516211552	1590516211552
REQUEST	170		Home	1590516211553	1590516211555	OK	 
USER	VetNotCreatedScn	195	START	1590516211563	1590516211563
REQUEST	195		Home	1590516211563	1590516211566	OK	 
USER	VetCreatedScn	171	START	1590516211594	1590516211594
REQUEST	171		Home	1590516211595	1590516211597	OK	 
USER	VetNotCreatedScn	196	START	1590516211605	1590516211605
REQUEST	196		Home	1590516211605	1590516211607	OK	 
USER	VetCreatedScn	172	START	1590516211630	1590516211630
REQUEST	172		Home	1590516211645	1590516211647	OK	 
USER	VetNotCreatedScn	197	START	1590516211640	1590516211640
REQUEST	197		Home	1590516211659	1590516211663	OK	 
USER	VetCreatedScn	173	START	1590516211672	1590516211672
REQUEST	173		Home	1590516211672	1590516211674	OK	 
USER	VetNotCreatedScn	198	START	1590516211682	1590516211682
REQUEST	198		Home	1590516211682	1590516211685	OK	 
USER	VetCreatedScn	174	START	1590516211714	1590516211714
REQUEST	174		Home	1590516211714	1590516211716	OK	 
USER	VetNotCreatedScn	199	START	1590516211725	1590516211725
REQUEST	199		Home	1590516211725	1590516211728	OK	 
USER	VetCreatedScn	175	START	1590516211750	1590516211750
REQUEST	175		Home	1590516211750	1590516211752	OK	 
USER	VetNotCreatedScn	200	START	1590516211760	1590516211760
REQUEST	200		Home	1590516211760	1590516211762	OK	 
USER	VetCreatedScn	176	START	1590516211791	1590516211791
REQUEST	176		Home	1590516211791	1590516211795	OK	 
USER	VetNotCreatedScn	201	START	1590516211801	1590516211801
REQUEST	201		Home	1590516211802	1590516211804	OK	 
USER	VetCreatedScn	177	START	1590516211832	1590516211832
REQUEST	177		Home	1590516211833	1590516211836	OK	 
USER	VetNotCreatedScn	202	START	1590516211843	1590516211843
REQUEST	202		Home	1590516211844	1590516211847	OK	 
USER	VetNotCreatedScn	228	START	1590516211885	1590516211885
USER	VetCreatedScn	203	START	1590516211885	1590516211885
REQUEST	228		Home	1590516211886	1590516211890	OK	 
REQUEST	203		Home	1590516211886	1590516211890	OK	 
USER	VetCreatedScn	204	START	1590516211921	1590516211921
USER	VetNotCreatedScn	229	START	1590516211921	1590516211921
REQUEST	204		Home	1590516211922	1590516211929	OK	 
REQUEST	229		Home	1590516211922	1590516211929	OK	 
USER	VetCreatedScn	205	START	1590516211964	1590516211964
USER	VetNotCreatedScn	230	START	1590516211964	1590516211964
REQUEST	230		Home	1590516211965	1590516211970	OK	 
REQUEST	205		Home	1590516211965	1590516211970	OK	 
