ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.CreateReservationTwoScenariosHU12Diagnosis	createreservationtwoscenarioshu12diagnosis	1590419531487	 	3.3.1
REQUEST	131		request_0	1590419537599	1590419537610	OK	 
USER	FailReservationTwoScenariosHU12	132	START	1590419537694	1590419537694
USER	FailReservationTwoScenariosHU12	133	START	1590419537746	1590419537746
REQUEST	132		request_0	1590419537739	1590419537753	OK	 
USER	CreateReservationTwoScenariosHU12	120	START	1590419537761	1590419537761
REQUEST	133		request_0	1590419537748	1590419537764	OK	 
REQUEST	120		request_0	1590419537763	1590419537777	OK	 
USER	CreateReservationTwoScenariosHU12	119	START	1590419537694	1590419537694
REQUEST	119		request_0	1590419537792	1590419537806	OK	 
USER	CreateReservationTwoScenariosHU12	121	START	1590419537828	1590419537828
USER	FailReservationTwoScenariosHU12	134	START	1590419537828	1590419537828
REQUEST	121		request_0	1590419537830	1590419537844	OK	 
REQUEST	134		request_0	1590419537831	1590419537844	OK	 
USER	FailReservationTwoScenariosHU12	135	START	1590419537915	1590419537915
USER	CreateReservationTwoScenariosHU12	122	START	1590419537914	1590419537914
REQUEST	135		request_0	1590419537917	1590419537928	OK	 
REQUEST	122		request_0	1590419537917	1590419537930	OK	 
USER	FailReservationTwoScenariosHU12	136	START	1590419537996	1590419537996
USER	CreateReservationTwoScenariosHU12	123	START	1590419537996	1590419537996
REQUEST	123		request_0	1590419537998	1590419538008	OK	 
REQUEST	136		request_0	1590419537998	1590419538008	OK	 
USER	FailReservationTwoScenariosHU12	150	START	1590419538062	1590419538062
USER	CreateReservationTwoScenariosHU12	137	START	1590419538062	1590419538062
REQUEST	137		request_0	1590419538064	1590419538074	OK	 
REQUEST	150		request_0	1590419538064	1590419538074	OK	 
USER	FailReservationTwoScenariosHU12	151	START	1590419538142	1590419538142
USER	CreateReservationTwoScenariosHU12	138	START	1590419538142	1590419538142
REQUEST	138		request_0	1590419538143	1590419538153	OK	 
REQUEST	151		request_0	1590419538143	1590419538153	OK	 
USER	CreateReservationTwoScenariosHU12	139	START	1590419538226	1590419538226
USER	FailReservationTwoScenariosHU12	152	START	1590419538226	1590419538226
REQUEST	152		request_0	1590419538228	1590419538238	OK	 
REQUEST	139		request_0	1590419538228	1590419538238	OK	 
USER	CreateReservationTwoScenariosHU12	140	START	1590419538300	1590419538300
USER	FailReservationTwoScenariosHU12	153	START	1590419538300	1590419538300
REQUEST	140		request_0	1590419538301	1590419538312	OK	 
REQUEST	153		request_0	1590419538301	1590419538312	OK	 
USER	CreateReservationTwoScenariosHU12	141	START	1590419538384	1590419538384
USER	FailReservationTwoScenariosHU12	154	START	1590419538384	1590419538384
REQUEST	141		request_0	1590419538385	1590419538394	OK	 
REQUEST	154		request_0	1590419538385	1590419538394	OK	 
USER	CreateReservationTwoScenariosHU12	142	START	1590419538448	1590419538448
USER	FailReservationTwoScenariosHU12	155	START	1590419538448	1590419538448
REQUEST	142		request_0	1590419538450	1590419538460	OK	 
REQUEST	155		request_0	1590419538450	1590419538460	OK	 
USER	FailReservationTwoScenariosHU12	156	START	1590419538516	1590419538516
REQUEST	156		request_0	1590419538518	1590419538530	OK	 
USER	CreateReservationTwoScenariosHU12	143	START	1590419538532	1590419538532
REQUEST	143		request_0	1590419538533	1590419538543	OK	 
USER	FailReservationTwoScenariosHU12	157	START	1590419538597	1590419538597
USER	CreateReservationTwoScenariosHU12	144	START	1590419538597	1590419538597
REQUEST	144		request_0	1590419538598	1590419538608	OK	 
REQUEST	157		request_0	1590419538598	1590419538608	OK	 
USER	CreateReservationTwoScenariosHU12	145	START	1590419538682	1590419538682
USER	FailReservationTwoScenariosHU12	158	START	1590419538682	1590419538682
REQUEST	145		request_0	1590419538684	1590419538694	OK	 
REQUEST	158		request_0	1590419538684	1590419538694	OK	 
USER	FailReservationTwoScenariosHU12	159	START	1590419538746	1590419538746
REQUEST	159		request_0	1590419538748	1590419538757	OK	 
USER	CreateReservationTwoScenariosHU12	146	START	1590419538762	1590419538762
REQUEST	146		request_0	1590419538763	1590419538773	OK	 
USER	FailReservationTwoScenariosHU12	160	START	1590419538832	1590419538832
USER	CreateReservationTwoScenariosHU12	147	START	1590419538832	1590419538832
REQUEST	160		request_0	1590419538834	1590419538844	OK	 
REQUEST	147		request_0	1590419538834	1590419538844	OK	 
USER	CreateReservationTwoScenariosHU12	148	START	1590419538910	1590419538910
USER	FailReservationTwoScenariosHU12	161	START	1590419538910	1590419538910
REQUEST	148		request_0	1590419538912	1590419538922	OK	 
REQUEST	161		request_0	1590419538912	1590419538922	OK	 
USER	CreateReservationTwoScenariosHU12	149	START	1590419538986	1590419538986
USER	FailReservationTwoScenariosHU12	162	START	1590419538986	1590419538986
REQUEST	162		request_0	1590419538988	1590419538998	OK	 
REQUEST	149		request_0	1590419538988	1590419539001	OK	 
USER	CreateReservationTwoScenariosHU12	163	START	1590419539056	1590419539056
USER	FailReservationTwoScenariosHU12	177	START	1590419539056	1590419539056
REQUEST	163		request_0	1590419539058	1590419539068	OK	 
REQUEST	177		request_0	1590419539058	1590419539068	OK	 
USER	CreateReservationTwoScenariosHU12	164	START	1590419539136	1590419539136
USER	FailReservationTwoScenariosHU12	178	START	1590419539136	1590419539136
REQUEST	164		request_0	1590419539137	1590419539147	OK	 
REQUEST	178		request_0	1590419539137	1590419539147	OK	 
USER	FailReservationTwoScenariosHU12	179	START	1590419539201	1590419539201
USER	CreateReservationTwoScenariosHU12	165	START	1590419539201	1590419539201
REQUEST	165		request_0	1590419539203	1590419539213	OK	 
REQUEST	179		request_0	1590419539203	1590419539213	OK	 
USER	CreateReservationTwoScenariosHU12	166	START	1590419539276	1590419539276
USER	FailReservationTwoScenariosHU12	180	START	1590419539276	1590419539276
REQUEST	166		request_0	1590419539277	1590419539287	OK	 
REQUEST	180		request_0	1590419539277	1590419539287	OK	 
USER	FailReservationTwoScenariosHU12	181	START	1590419539339	1590419539339
USER	CreateReservationTwoScenariosHU12	167	START	1590419539339	1590419539339
REQUEST	181		request_0	1590419539340	1590419539349	OK	 
REQUEST	167		request_0	1590419539341	1590419539351	OK	 
USER	FailReservationTwoScenariosHU12	182	START	1590419539406	1590419539406
REQUEST	182		request_0	1590419539408	1590419539418	OK	 
USER	CreateReservationTwoScenariosHU12	168	START	1590419539419	1590419539419
REQUEST	168		request_0	1590419539421	1590419539431	OK	 
USER	CreateReservationTwoScenariosHU12	169	START	1590419539486	1590419539486
USER	FailReservationTwoScenariosHU12	183	START	1590419539486	1590419539486
REQUEST	169		request_0	1590419539488	1590419539499	OK	 
REQUEST	183		request_0	1590419539488	1590419539499	OK	 
USER	CreateReservationTwoScenariosHU12	170	START	1590419539578	1590419539578
USER	FailReservationTwoScenariosHU12	184	START	1590419539578	1590419539578
REQUEST	170		request_0	1590419539580	1590419539591	OK	 
REQUEST	184		request_0	1590419539580	1590419539591	OK	 
USER	CreateReservationTwoScenariosHU12	171	START	1590419539631	1590419539631
