ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.CreateReservationTwoScenariosAlpha	createreservationtwoscenariosalpha	1590352298462	 	3.3.1
USER	CreateGoodReservation	215	START	1590352309819	1590352309819
REQUEST	227		request_0	1590352309821	1590352309830	OK	 
REQUEST	215		request_0	1590352309821	1590352309831	OK	 
USER	CreateBadReservation	228	START	1590352309904	1590352309904
USER	CreateGoodReservation	216	START	1590352309904	1590352309904
REQUEST	216		request_0	1590352309905	1590352309916	OK	 
REQUEST	228		request_0	1590352309905	1590352309917	OK	 
USER	CreateGoodReservation	217	START	1590352309985	1590352309985
USER	CreateBadReservation	229	START	1590352309985	1590352309985
REQUEST	229		request_0	1590352309987	1590352309996	OK	 
REQUEST	217		request_0	1590352309987	1590352309996	OK	 
USER	CreateBadReservation	230	START	1590352310068	1590352310068
USER	CreateGoodReservation	218	START	1590352310068	1590352310068
REQUEST	230		request_0	1590352310070	1590352310080	OK	 
REQUEST	218		request_0	1590352310070	1590352310080	OK	 
USER	CreateGoodReservation	231	START	1590352310156	1590352310156
USER	CreateBadReservation	242	START	1590352310156	1590352310156
